,City,longitude,latitude
469,BARTHOLOMÄ,48.750,9.983
470,BARTOW,53.817,13.344
471,BARUM,53.050,10.517
472,BARUTH,51.229,14.603
473,BARVER,52.617,8.600
474,BASDAHL,53.450,9.000
475,BASDORF,52.718,13.436
476,BASSENHEIM,50.350,7.467
477,BASSUM,52.850,8.733
478,BASTHEIM,50.400,10.200
479,BATTENBERG (EDER),51.017,8.650
480,BAUMHOLDER,49.617,7.333
481,BAUNACH,49.983,10.850
482,BAUNATAL,51.267,9.417
483,BAUTZEN,51.186,14.434
484,BAWINKEL,52.600,7.417
485,BAYERBACH,48.417,13.150
486,BAYERBACH BEI ERGOLDSBACH,48.700,12.300
487,BAYERISCH EISENSTEIN,49.117,13.200
488,BAYERISCH GMAIN,47.733,12.900
489,BAYREUTH,49.950,11.583
490,BAYRISCHZELL,47.683,12.017
491,BEBERTAL,52.239,11.336
492,BEBRA,50.967,9.800
493,BECHERBACH,49.650,7.683
494,BECHHOFEN,49.150,10.550
495,BECHHOFEN,49.350,7.400
496,BECHTHEIM,49.733,8.300
497,BECHTOLSHEIM,49.800,8.200
498,BECKDORF,53.417,9.617
499,BECKEDORF,52.350,9.317
500,BECKINGEN,49.383,6.700
501,BECKUM,51.750,8.050
502,BEDBURG,51.000,6.567
503,BEDBURG-HAU,51.767,6.183
504,BEDERKESA,53.633,8.850
505,BEELEN,51.933,8.117
506,BEELITZ,52.239,12.985
507,BEERFELDEN,49.567,8.967
508,BEESENLAUBLINGEN,51.716,11.692
509,BEESKOW,52.172,14.250
510,BEESTEN,52.433,7.500
511,BEETZENDORF,52.702,11.082
512,BEHRINGEN,51.023,10.514
513,BEIERFELD,50.567,12.797
514,BEIERSDORF,51.073,14.548
515,BEILNGRIES,49.033,11.467
516,BEILRODE,51.569,13.075
517,BEILSTEIN,49.050,9.317
518,BEIMERSTETTEN,48.483,9.983
519,BEINDERSHEIM,49.567,8.317
520,BELGERN,51.482,13.121
521,BELL,50.383,7.233
522,BELL (HUNSRÜCK),50.067,7.417
523,BELLENBERG,48.250,10.100
524,BELLHEIM,49.200,8.283
